# Force           
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.001              5.6293378717e-03 -5.9505809041e-03 -2.9319270706e-05 1.8647393600e-03 -6.9593020350e-03 -1.8564311675e-20 3.7645985117e-03 1.0087211309e-03 -2.9319270706e-05
0.002              5.4201051772e-03 -6.2126305761e-03 2.9578214554e-04 1.9162358451e-03 -7.1514895343e-03 -2.2248804545e-20 3.5038693322e-03 9.3885895822e-04 2.9578214554e-04
0.003              6.1560256059e-03 -8.8983693687e-03 -2.9050314901e-04 2.6369678652e-03 -9.8412980488e-03 -1.4571414690e-20 3.5190577407e-03 9.4292868013e-04 -2.9050314901e-04
0.004              4.7098117973e-03 -6.3066897215e-03 -1.6413174518e-04 1.8921699973e-03 -7.0616745668e-03 -3.0717387301e-20 2.8176418000e-03 7.5498484530e-04 -1.6413174518e-04
0.005              6.8523764229e-03 -6.9922145287e-03 1.2161158005e-04 2.2070758140e-03 -8.2369190746e-03 -3.8654002010e-21 4.6453006089e-03 1.2447045459e-03 1.2161158005e-04
0.006              6.7843142394e-03 -8.2890597012e-03 -7.1156218048e-05 2.5267278054e-03 -9.4298765481e-03 -3.4957642108e-20 4.2575864340e-03 1.1408168470e-03 -7.1156218048e-05
0.007              5.5436704973e-03 -6.4020861926e-03 1.7628167812e-04 1.9718770564e-03 -7.3591453606e-03 -2.7690196910e-20 3.5717934409e-03 9.5705916796e-04 1.7628167812e-04
0.008              5.5242702162e-03 -6.8277023870e-03 -5.6618860339e-04 2.0769815329e-03 -7.7514006061e-03 -1.7457363906e-20 3.4472886833e-03 9.2369821917e-04 -5.6618860339e-04
0.009              4.8473200856e-03 -7.5922757098e-03 1.3203674912e-04 2.2227778029e-03 -8.2955196953e-03 -1.3308388240e-20 2.6245422827e-03 7.0324398556e-04 1.3203674912e-04
0.01               5.7756050344e-03 -6.6944801175e-03 -4.7293637315e-04 2.0605122057e-03 -7.6899362410e-03 -1.2151520916e-20 3.7150928287e-03 9.9545612352e-04 -4.7293637315e-04
0.011              6.1648347717e-03 -7.4134450600e-03 7.4506968348e-04 2.2663268903e-03 -8.4580470988e-03 -2.1273066615e-20 3.8985078814e-03 1.0446020388e-03 7.4506968348e-04
0.012              6.0669712857e-03 -5.9675410254e-03 -2.2264690439e-04 1.8982952699e-03 -7.0845343972e-03 -3.1538372811e-20 4.1686760158e-03 1.1169933718e-03 -2.2264690439e-04
