# Moment          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.001              1.3040533406e-05 -4.8667933221e-05 -1.0424380175e-03 -5.0486566559e-22 1.8841843150e-21 -1.0424380175e-03 1.3040533406e-05 -4.8667933221e-05 -7.0991413779e-14
0.002              1.0935357745e-05 -4.0811310707e-05 -1.0389025173e-03 -7.5357719491e-22 2.8123883789e-21 -1.0389025173e-03 1.0935357745e-05 -4.0811310707e-05 -3.9938394248e-16
0.003              -2.7666825965e-05 1.0325400019e-04 -1.6714692658e-03 -2.7110242442e-22 1.0117680219e-21 -1.6714692659e-03 -2.7666825965e-05 1.0325400019e-04 4.3446972891e-14
0.004              4.2838270040e-06 -1.5987460028e-05 -9.6523273538e-04 -8.1380542246e-22 3.0371631841e-21 -9.6523273542e-04 4.2838270040e-06 -1.5987460028e-05 4.6479731660e-14
0.005              -9.1498467421e-06 3.4147692920e-05 -1.3681086207e-03 5.4270301199e-22 -2.0253952141e-21 -1.3681086205e-03 -9.1498467421e-06 3.4147692920e-05 -1.5008463252e-13
0.006              -4.2256813688e-06 1.5770457562e-05 -1.5551461479e-03 -8.4491871537e-22 3.1532795741e-21 -1.5551461479e-03 -4.2256813688e-06 1.5770457562e-05 3.6487066363e-14
0.007              7.5968995618e-06 -2.8352015142e-05 -9.8217695294e-04 -7.5795711232e-22 2.8287344531e-21 -9.8217695296e-04 7.5968995618e-06 -2.8352015142e-05 2.1768873349e-14
0.008              -2.2027870918e-05 8.2209133450e-05 -1.2388527252e-03 -4.0635187594e-22 1.5165258468e-21 -1.2388527253e-03 -2.2027870918e-05 8.2209133450e-05 1.0021191559e-13
0.009              1.5375667995e-05 -5.7382774154e-05 -1.3157246900e-03 -3.4241509019e-23 1.2779105142e-22 -1.3157246901e-03 1.5375667995e-05 -5.7382774154e-05 4.8151209121e-14
0.01               -1.8812195685e-05 7.0208070101e-05 -1.1961962505e-03 -2.6941301753e-22 1.0054630696e-21 -1.1961962505e-03 -1.8812195685e-05 7.0208070101e-05 2.7896040148e-16
0.011              3.7150877669e-05 -1.3864896301e-04 -1.2383594634e-03 -8.0356554375e-22 2.9989474365e-21 -1.2383594635e-03 3.7150877669e-05 -1.3864896301e-04 4.6344668421e-14
0.012              1.3832245605e-05 -5.1622643381e-05 -9.2065165152e-04 -4.3717946729e-22 1.6315759840e-21 -9.2065165144e-04 1.3832245605e-05 -5.1622643381e-05 -8.1500114063e-14
